Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,發行量(萬張),相關產業
1240,茂生農經,櫃,20.4,農業科技業,Traditional,Agri-Tech,3.5,農業科技業
1258,其祥-KY,櫃,4.62,食品工業,Traditional,Food,3.68,食品
1259,安心,櫃,21.5,觀光事業,Others,Tourism,3.24,觀光
1264,德麥,櫃,73.5,食品工業,Traditional,Food,3.37,食品
1268,漢來美食,櫃,47.3,觀光事業,Others,Tourism,3.77,觀光
1336,台翰,櫃,12.6,電子零組件業,Electronic,Components,7.71,模具沖壓
1565,精華,櫃,143,生技醫療業,Biotech,Biotech,5.04,生技醫療
1569,濱川,櫃,29.5,電腦及週邊設備業,Electronic,Computers,11.6,"模具沖壓,機殼業"
1570,力肯,櫃,6.62,電機機械,Traditional,Machinery,5.15,電機機械
1580,新麥,櫃,38.2,電機機械,Traditional,Machinery,5.02,電機機械
1584,精剛,櫃,7.34,其他業,Others,Others,8.25,其他
1586,和勤,櫃,32.7,電機機械,Traditional,Machinery,8.39,電機機械
1591,駿吉-KY,櫃,5.37,電機機械,Traditional,Machinery,3.32,電機機械
1593,祺驊,櫃,18.2,生技醫療業,Biotech,Biotech,3.19,生技醫療
1595,川寶,櫃,14.2,電子零組件業,Electronic,Components,4.71,電子零組件
1599,宏佳騰,櫃,23.2,電機機械,Traditional,Machinery,7.71,電機機械
1742,台蠟,櫃,15.3,化學工業,Traditional,Chemical,7.16,化工
1752,南光,櫃,39.6,生技醫療業,Biotech,Biotech,10.1,生技醫療
1777,生泰,櫃,22.4,生技醫療業,Biotech,Biotech,3.01,生技醫療
1781,合世,櫃,12.6,生技醫療業,Biotech,Biotech,4.74,生技醫療
1784,訊聯,櫃,19.2,生技醫療業,Biotech,Biotech,4.96,生技醫療
1785,光洋科,櫃,205,其他電子業,Electronic,Others,49.8,其他電子
1788,杏昌,櫃,39.1,生技醫療業,Biotech,Biotech,3.62,生技醫療
1796,金穎生技,櫃,5.86,食品工業,Traditional,Food,2.79,食品
1799,易威,櫃,23.1,生技醫療業,Biotech,Biotech,13.9,生技醫療
1813,寶利徠,櫃,8.84,生技醫療業,Biotech,Biotech,4.66,生技醫療
1815,富喬,櫃,41.8,電子零組件業,Electronic,Components,42.3,電子零組件
2035,唐榮,櫃,133,鋼鐵工業,Traditional,Steel,35,鋼鐵
2061,風青,櫃,6.39,電器電纜,Traditional,Cable,5.87,電器電纜
2063,世鎧,櫃,14.1,鋼鐵工業,Traditional,Steel,4.5,鋼鐵
2064,晉椿,櫃,8.26,鋼鐵工業,Traditional,Steel,6.96,鋼鐵
2065,世豐,櫃,14.8,鋼鐵工業,Traditional,Steel,4.16,鋼鐵
2066,世德,櫃,18.2,電機機械,Traditional,Machinery,3.65,電機機械
2067,嘉鋼,櫃,4.3,電機機械,Traditional,Machinery,4.51,電機機械
2070,精湛,櫃,9.16,電機機械,Traditional,Machinery,3.58,電機機械
