Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1101,台泥,市,2327,水泥工業,Traditional,Cement,574,水泥
1102,亞泥,市,1371,水泥工業,Traditional,Cement,336,水泥
1103,嘉泥,市,121,水泥工業,Traditional,Cement,77.5,水泥
1104,環泥,市,122,水泥工業,Traditional,Cement,65.4,水泥
1108,幸福,市,43.3,水泥工業,Traditional,Cement,40.5,水泥
1109,信大,市,64.1,水泥工業,Traditional,Cement,34.2,水泥
1110,東泥,市,94.7,水泥工業,Traditional,Cement,57.2,水泥
1201,味全,市,99.2,食品工業,Traditional,Food,50.6,食品
1203,味王,市,75.4,食品工業,Traditional,Food,24,食品
1210,大成,市,348,食品工業,Traditional,Food,82.7,食品
1213,大飲,市,5.38,食品工業,Traditional,Food,5.66,食品
1215,卜蜂,市,176,食品工業,Traditional,Food,26.8,食品
1216,統一,市,3511,食品工業,Traditional,Food,568,食品
1217,愛之味,市,36.1,食品工業,Traditional,Food,49.5,食品
1218,泰山,市,106,食品工業,Traditional,Food,50,食品
1219,福壽,市,61,食品工業,Traditional,Food,32.2,食品
1220,台榮,市,20.2,食品工業,Traditional,Food,17.7,食品
1225,福懋油,市,69.1,食品工業,Traditional,Food,21.9,食品
1227,佳格,市,558,食品工業,Traditional,Food,91.5,食品
1229,聯華,市,505,食品工業,Traditional,Food,128,食品
1231,聯華食,市,74.7,食品工業,Traditional,Food,18.3,食品
1232,大統益,市,188,食品工業,Traditional,Food,16,食品
1233,天仁,市,31.9,食品工業,Traditional,Food,9.06,食品
1234,黑松,市,130,食品工業,Traditional,Food,40.2,食品
1235,興泰,市,24,食品工業,Traditional,Food,9.9,食品
1236,宏亞,市,14.3,食品工業,Traditional,Food,10.8,食品
1256,鮮活果汁-KY,市,88,食品工業,Traditional,Food,3.38,食品
1301,台塑,市,5029,塑膠工業,Traditional,Plastic,637,塑膠
1303,南亞,市,4616,塑膠工業,Traditional,Plastic,793,塑膠
1304,台聚,市,185,塑膠工業,Traditional,Plastic,119,塑膠
1305,華夏,市,105,塑膠工業,Traditional,Plastic,55.3,塑膠
1307,三芳,市,79.8,塑膠工業,Traditional,Plastic,39.8,塑膠
1308,亞聚,市,101,塑膠工業,Traditional,Plastic,58.2,塑膠
1309,台達化,市,90.9,塑膠工業,Traditional,Plastic,34.4,塑膠
1310,台苯,市,83.4,塑膠工業,Traditional,Plastic,52.8,塑膠
1312,國喬,市,166,塑膠工業,Traditional,Plastic,90.7,塑膠
1313,聯成,市,165,塑膠工業,Traditional,Plastic,133,塑膠
1314,中石化,市,273,塑膠工業,Traditional,Plastic,328,塑膠
1315,達新,市,70.1,塑膠工業,Traditional,Plastic,19.8,塑膠
1316,上曜,市,20.1,建材營造業,Traditional,Construction,18.5,建材營造
1319,東陽,市,210,汽車工業,Traditional,Cars,59.1,汽車
1321,大洋,市,77,塑膠工業,Traditional,Plastic,22.7,塑膠
1323,永裕,市,30.1,塑膠工業,Traditional,Plastic,9.13,塑膠
