Code,Name,Market,Market_Value,產業別,Main_Type,Sub_Type,Issue_amount,相關產業
1101,台泥,市,2327,水泥工業,Traditional,Cement,574,"水泥_原料,水泥_成品,水泥_預拌混凝土"
1102,亞泥,市,1371,水泥工業,Traditional,Cement,336,水泥_原料
1103,嘉泥,市,121,水泥工業,Traditional,Cement,77.5,"水泥_成品,建設業,租賃業"
1104,環泥,市,122,水泥工業,Traditional,Cement,65.4,"水泥_成品,水泥_預拌混凝土"
1108,幸福,市,43.3,水泥工業,Traditional,Cement,40.5,"水泥_原料,水泥_成品,水泥_預拌混凝土"
1109,信大,市,64.1,水泥工業,Traditional,Cement,34.2,"水泥_原料,水泥_成品,水泥_預拌混凝土"
1110,東泥,市,94.7,水泥工業,Traditional,Cement,57.2,水泥_原料
1201,味全,市,99.2,食品工業,Traditional,Food,50.6,食品_即食品
1203,味王,市,75.4,食品工業,Traditional,Food,24,食品_即食品
1210,大成,市,348,食品工業,Traditional,Food,82.7,"食品_原物料,食品_加工,食品_即食品"
1213,大飲,市,5.38,食品工業,Traditional,Food,5.66,食品_即食品
1215,卜蜂,市,176,食品工業,Traditional,Food,26.8,"食品_原物料,食品_加工,食品_即食品"
1216,統一,市,3511,食品工業,Traditional,Food,568,"食品_原物料,食品_加工,食品_即食品,貿易百貨_零售通路"
1217,愛之味,市,36.1,食品工業,Traditional,Food,49.5,食品_即食品
1218,泰山,市,106,食品工業,Traditional,Food,50,"食品_加工,食品_即食品"
1219,福壽,市,61,食品工業,Traditional,Food,32.2,食品_加工
1220,台榮,市,20.2,食品工業,Traditional,Food,17.7,"食品_原物料,食品_加工"
1225,福懋油,市,69.1,食品工業,Traditional,Food,21.9,食品_加工
1227,佳格,市,558,食品工業,Traditional,Food,91.5,食品_即食品
1229,聯華,市,505,食品工業,Traditional,Food,128,"食品_原物料,食品_即食品"
1231,聯華食,市,74.7,食品工業,Traditional,Food,18.3,食品_即食品
1232,大統益,市,188,食品工業,Traditional,Food,16,"食品_原物料,食品_加工"
1233,天仁,市,31.9,食品工業,Traditional,Food,9.06,"食品_原物料,觀光_餐飲連鎖"
1234,黑松,市,130,食品工業,Traditional,Food,40.2,食品_即食品
1235,興泰,市,24,食品工業,Traditional,Food,9.9,食品_原物料
1236,宏亞,市,14.3,食品工業,Traditional,Food,10.8,食品_即食品
1256,鮮活果汁-KY,市,88,食品工業,Traditional,Food,3.38,食品_加工
1301,台塑,市,5029,塑膠工業,Traditional,Plastic,637,"塑膠_原料,塑膠_製成品,塑膠_其他製品"
1303,南亞,市,4616,塑膠工業,Traditional,Plastic,793,"晶圓製造,DRAM製造,PCB材料,銅箔基板,塑膠_原料,塑膠_其他製品,紡織_纖維,電機電控元件,機械設備之沖壓零組件"
1304,台聚,市,185,塑膠工業,Traditional,Plastic,119,塑膠_工業用合成樹脂
1305,華夏,市,105,塑膠工業,Traditional,Plastic,55.3,塑膠_製成品
1307,三芳,市,79.8,塑膠工業,Traditional,Plastic,39.8,塑膠_製成品
1308,亞聚,市,101,塑膠工業,Traditional,Plastic,58.2,塑膠_工業用合成樹脂
1309,台達化,市,90.9,塑膠工業,Traditional,Plastic,34.4,塑膠_製成品
1310,台苯,市,83.4,塑膠工業,Traditional,Plastic,52.8,塑膠_製成品
1312,國喬,市,166,塑膠工業,Traditional,Plastic,90.7,塑膠_製成品
1313,聯成,市,165,塑膠工業,Traditional,Plastic,133,塑膠_其他製品
1314,中石化,市,273,塑膠工業,Traditional,Plastic,328,塑膠_原料
