Time,Stock_ID,Volume,Open,High,Low,Close,Foreign_Net_Volume,Domestic_Net_Volume,Net_Margin
2016-01-04,3666,312.0,22.45,22.5,21.65,21.7,-1.0,0.0,-72.0
2016-01-05,3666,73.0,21.7,22.05,21.25,21.5,6.0,0.0,6.0
2016-01-06,3666,159.0,21.8,21.8,20.6,21.2,4.0,0.0,8.0
2016-01-07,3666,295.0,20.6,21.05,20.05,20.25,0.0,0.0,-34.0
2016-01-08,3666,179.0,20.05,21.2,19.8,21.1,27.0,0.0,-51.0
2016-01-11,3666,70.0,20.5,20.95,20.5,20.6,0.0,0.0,-23.0
2016-01-12,3666,135.0,20.6,21.15,20.1,20.4,-9.0,0.0,10.0
2016-01-13,3666,120.0,20.5,20.9,20.2,20.9,8.0,0.0,-34.0
2016-01-14,3666,87.0,20.45,20.5,20.05,20.2,46.0,0.0,-27.0
2016-01-15,3666,192.0,20.4,21.0,20.4,20.7,-12.0,0.0,65.0
2016-01-18,3666,77.0,20.3,21.45,20.3,21.3,20.0,0.0,23.0
2016-01-19,3666,69.0,21.8,21.8,21.1,21.15,0.0,0.0,30.0
2016-01-20,3666,98.0,21.0,21.1,20.9,20.9,-5.0,0.0,15.0
2016-01-21,3666,87.0,20.95,21.0,20.85,21.0,-3.0,0.0,49.0
2016-01-22,3666,100.0,21.25,21.45,21.05,21.05,3.0,0.0,3.0
2016-01-25,3666,483.0,21.05,23.15,21.05,23.15,14.0,0.0,132.0
2016-01-26,3666,1147.0,23.5,24.2,22.8,23.0,-76.0,0.0,64.0
2016-01-27,3666,2564.0,24.5,25.3,23.75,25.3,-14.0,0.0,971.0
2016-01-28,3666,2304.0,25.5,26.25,25.0,25.8,0.0,0.0,338.0
2016-01-29,3666,2010.0,25.8,28.35,25.5,27.9,113.0,0.0,255.0
2016-01-30,3666,1700.0,28.05,30.1,28.0,29.2,-5.0,0.0,107.0
2016-02-01,3666,1060.0,29.45,29.45,27.9,28.9,31.0,0.0,130.0
2016-02-02,3666,2713.0,29.75,31.5,29.75,30.95,33.0,0.0,282.0
2016-02-03,3666,1165.0,31.0,31.25,30.05,31.25,111.0,0.0,263.0
2016-02-15,3666,663.0,31.0,32.55,30.65,30.95,-13.0,0.0,-10.0
